Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Pre Seed Round - Polaris Mobility,https://www.crunchbase.com/funding_round/polaris-mobility-pre-seed--3f64d168,Polaris Mobility,https://www.crunchbase.com/organization/polaris-mobility,Pre-Seed,765000,USD,765000,2019-02-05
Private Equity Round - eCare Vault,https://www.crunchbase.com/funding_round/ecare-vault-private-equity--dc5202d1,eCare Vault,https://www.crunchbase.com/organization/ecare-vault,Private Equity,,,,2019-02-07
Series B - Vicarious Surgical,https://www.crunchbase.com/funding_round/vicarious-surgical-series-b--d33a13ea,Vicarious Surgical,https://www.crunchbase.com/organization/vicarious-surgical,Series B,10000000,USD,10000000,2019-02-14
"Pre Seed Round - SmileML, Inc.",https://www.crunchbase.com/funding_round/smileml-inc-pre-seed--b75c0ce5,"SmileML, Inc.",https://www.crunchbase.com/organization/smileml-inc,Pre-Seed,120000,USD,120000,2019-02-16
Grant - Cortico,https://www.crunchbase.com/funding_round/cortico-grant--ac5df156,Cortico,https://www.crunchbase.com/organization/cortico,Grant,2000000,USD,2000000,2019-02-19
Angel Round - ThinkGenetic,https://www.crunchbase.com/funding_round/thinkgenetic-angel--5962a11c,ThinkGenetic,https://www.crunchbase.com/organization/thinkgenetic,Angel,1500000,USD,1500000,2019-02-19
Venture Round - Nasuni,https://www.crunchbase.com/funding_round/nasuni-series-unknown--be9b33de,Nasuni,https://www.crunchbase.com/organization/nasuni,Venture - Series Unknown,25000000,USD,25000000,2019-02-19
Series B - Axial Biotherapeutics,https://www.crunchbase.com/funding_round/axial-biotherapeutics-series-b--ce5ae247,Axial Biotherapeutics,https://www.crunchbase.com/organization/axial-biotherapeutics,Series B,25000000,USD,25000000,2019-02-27
"Pre Seed Round - IndustrialML, Inc.",https://www.crunchbase.com/funding_round/industrialml-inc-pre-seed--ea0dba55,"IndustrialML, Inc.",https://www.crunchbase.com/organization/industrialml-inc,Pre-Seed,,,,2019-03-01
Seed Round - n-Powered,https://www.crunchbase.com/funding_round/n-powered-seed--eaa1abc3,n-Powered,https://www.crunchbase.com/organization/n-powered,Seed,750000,USD,750000,2019-03-01
Series B - Beam Therapeutics,https://www.crunchbase.com/funding_round/beam-therapeutics-series-b--470d630b,Beam Therapeutics,https://www.crunchbase.com/organization/beam-therapeutics,Series B,135000000,USD,135000000,2019-03-06
